index,Last (Price),Change,Bid / Ask,Volume,Volume (4w avg),Turnover,Open,Day Range,VWAP,Prev Close,Last Trade,1 Week,1 Month,2023 YTD,1 Year,vs Sector (1yr),vs ASX 200 (1yr),Market Cap,ASX Rank,Sector Rank,Shares Issued,Sector,Similar Companies,EPS,DPS,Book Value Per Share,Breakdown,Recommendation,Last Updated,Ticker
Value,$31.26,"1.02
(3.37%)","$29.88
-
$31.35","160,245","245,483","$4,999,714",$31.07,$30.56 - $31.45,$31.20,$30.24,6:58pm 03/11 (AEDT),+3.30%,+1.20%,+21.78%,+11.96%,+5.78%,+10.21%,"$2,570,210,986","152 of 2,408",14 of 150,"82,220,441",Consumer Cyclical,CTD / WEB / SUL,$1.079,$0.62,$0.60,"6 Buy
· 5 Hold
· 2 Sell",Hold,01/10/23,ARB
Value,$11.08,"0.17
(1.56%)","$10.77
-
$11.35","366,353","441,797","$4,045,735",$10.95,$10.725 - $11.10,$11.045,$10.91,6:58pm 03/11 (AEDT),+2.59%,-4.24%,+46.17%,+37.98%,+31.80%,+36.23%,"$1,561,113,232","234 of 2,408",23 of 150,"140,894,696",Consumer Cyclical,SGR / LNW / SKC,$0.693,$0.39,$0.526,"11 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,GUD
Value,$10.12,"0.07
(0.70%)","$9.96
-
$10.92","37,398","127,350","$378,557",$10.16,$10.06 - $10.22,$10.12,$10.05,6:58pm 03/11 (AEDT),-0.88%,-8.08%,-6.04%,-3.98%,-10.17%,-5.74%,"$1,016,899,406","295 of 2,408",28 of 150,"100,484,131",Consumer Cyclical,BGP / CTT / AX1,$0.217,$0.125,$0.722,"7 Buy
· 4 Hold
· 1 Sell",Buy,01/10/23,PWH
Value,$16.10,"0.65
(-3.88%)","$16.15
-
$17.10","5,570",758,"$90,352",$16.75,$16.01 - $16.75,$16.22,$16.75,6:58pm 03/11 (AEDT),-3.88%,-5.35%,-11.05%,-10.26%,-16.44%,-12.01%,"$218,469,868","672 of 2,408",58 of 150,"13,569,557",Consumer Cyclical,NDO / ALG / BST,$1.811,$0.90,$3.324,,,,SFC
Value,$0.89,"0.00
(0.00)","$0.845
-
$0.90",0,"11,146",$0,‐,‐ - ‐,‐,$0.89,6:58pm 03/11 (AEDT),+3.49%,-6.32%,-19.09%,-34.07%,-40.26%,-35.83%,"$72,343,803","1,034 of 2,408",88 of 150,"81,285,172",Consumer Cyclical,ISU / KED / CCX,$0.084,$0.0233,$0.986,,,,AHL
Value,$0.155,"0.005
(3.33%)","$0.145
-
$0.155","82,262","432,421","$12,513",$0.155,$0.145 - $0.155,$0.152,$0.15,6:58pm 03/11 (AEDT),0.00,-32.61%,-60.76%,-62.65%,-68.84%,-64.41%,"$44,987,245","1,217 of 2,408",96 of 150,"290,240,290",Consumer Cyclical,DNA / BBT / MFD,$0.025,$0.00,$0.202,,,,VMT
Value,$0.081,"0.0005
(0.62%)","$0.078
-
$0.085","92,000","26,007","$7,490",$0.081,$0.081 - $0.082,$0.0815,$0.0805,6:58pm 03/11 (AEDT),+1.25%,-6.90%,-49.38%,-59.50%,-65.69%,-61.25%,"$15,831,293","1,653 of 2,408",122 of 150,"195,448,061",Consumer Cyclical,XRG / ABV / CLU,$0.01,$0.00,$0.031,,,,RPM
Value,$0.044,"0.002
(4.76%)","$0.043
-
$0.046","231,792","154,298","$10,160",$0.042,$0.042 - $0.045,$0.044,$0.042,6:58pm 03/11 (AEDT),-2.22%,0.00,+10.00%,+37.50%,+31.32%,+35.75%,"$16,696,546","1,626 of 2,408",120 of 150,"379,466,944",Consumer Cyclical,XRG / RPM / UCW,$0.004,$0.00,$0.017,,,,ABV
Value,$0.004,"0.00
(0.00)","$0.004
-
$0.005","286,645","1,241,239","$1,147",$0.004,$0.004 - $0.004,$0.004,$0.004,6:58pm 03/11 (AEDT),0.00,+33.33%,-42.86%,-20.00%,-26.19%,-21.75%,"$4,843,811","2,143 of 2,408",133 of 150,"1,210,952,783",Consumer Cyclical,MHI / SIX / AUA,$0.00,$0.00,$0.008,,,,DDT
Value,$0.014,"0.00
(0.00)","$0.012
-
$0.014",176,"555,355",$2,$0.014,$0.014 - $0.014,$0.014,$0.014,6:58pm 03/11 (AEDT),-6.67%,-22.22%,-54.84%,-26.32%,-32.50%,-28.07%,"$4,745,972","2,151 of 2,408",135 of 150,"338,998,012",Consumer Cyclical,AUA / MHI / DDT,-$0.02,$0.00,$0.003,,,,SIX
Value,$99.93,"1.50
(1.52%)","$99.75
-
$99.95","2,507,791","1,993,484","$250,439,945",$99.60,$99.20 - $99.99,$99.845,$98.43,6:58pm 03/11 (AEDT),+3.02%,+0.08%,-2.60%,-4.37%,-0.86%,-6.13%,"$167,435,476,166","2 of 2,408",1 of 573,"1,675,527,631",Financial Services,NAB / ANZ / WBC,$5.893,$4.50,$38.582,"0 Buy
· 5 Hold
· 15 Sell",Strong Sell,01/10/23,CBA
Value,$29.06,"0.49
(1.72%)","$28.92
-
$29.10","4,699,140","4,334,055","$136,415,820",$28.95,$28.78 - $29.13,$29.025,$28.57,6:58pm 03/11 (AEDT),+3.05%,+0.35%,-3.33%,-9.61%,-6.09%,-11.37%,"$90,927,255,819","4 of 2,408",2 of 573,"3,128,948,927",Financial Services,ANZ / WBC / MQG,$2.268,$1.61,$17.372,"9 Buy
· 5 Hold
· 4 Sell",Hold,01/10/23,NAB
Value,$25.60,"0.23
(0.91%)","$25.59
-
$25.63","5,813,929","5,496,181","$148,785,898",$25.73,$25.56 - $25.75,$25.635,$25.37,6:58pm 03/11 (AEDT),+3.27%,+0.43%,+11.26%,-0.31%,+3.21%,-2.07%,"$76,935,344,282","5 of 2,408",3 of 573,"3,005,286,886",Financial Services,WBC / MQG / NAB,$2.297,$1.55,$20.682,"12 Buy
· 4 Hold
· 2 Sell",Buy,01/10/23,ANZ
Value,$21.50,"0.33
(1.56%)","$21.44
-
$21.50","7,177,724","6,695,917","$154,169,117",$21.46,$21.39 - $21.58,$21.485,$21.17,6:58pm 03/11 (AEDT),+4.52%,+1.75%,-7.92%,-10.08%,-6.56%,-11.83%,"$75,445,154,640","6 of 2,408",4 of 573,"3,509,076,960",Financial Services,ANZ / MQG / NAB,$1.744,$1.34,$17.161,"3 Buy
· 6 Hold
· 10 Sell",Sell,01/10/23,WBC
Value,$9.09,"0.20
(2.25%)","$9.05
-
$9.10","1,285,689","1,174,747","$11,645,116",$8.96,$8.93 - $9.10,$9.055,$8.89,6:58pm 03/11 (AEDT),+4.72%,+1.79%,-7.34%,+1.11%,+4.63%,-0.64%,"$5,160,947,181","94 of 2,408",19 of 573,"567,760,966",Financial Services,SDF / STW / MLT,$0.792,$0.61,$8.851,"7 Buy
· 8 Hold
· 2 Sell",Hold,01/10/23,BEN
Value,$3.01,"0.13
(4.51%)","$2.98
-
$3.02","10,515,183","1,510,611","$31,555,235",$2.96,$2.94 - $3.015,$2.985,$2.88,6:58pm 03/11 (AEDT),+7.89%,-5.35%,-8.23%,+24.38%,+27.90%,+22.63%,"$2,023,808,193","183 of 2,408",49 of 573,"672,361,526",Financial Services,IAF / VDHG / PDL,$0.337,$0.1922,$4.533,"13 Buy
· 8 Hold
· 3 Sell",Buy,01/10/23,VUK
Value,$5.45,"0.19
(3.61%)","$5.42
-
$5.45","2,691,645","3,507,998","$14,564,520",$5.30,$5.30 - $5.45,$5.41,$5.26,6:58pm 03/11 (AEDT),+4.41%,-4.72%,-21.01%,-24.93%,-21.41%,-26.69%,"$3,581,834,999","116 of 2,408",26 of 573,"657,217,431",Financial Services,NHF / VTS / NDQ,$0.183,$0.44,$7.734,"2 Buy
· 6 Hold
· 12 Sell",Sell,01/10/23,BOQ
Value,$5.31,"0.21
(4.12%)","$5.10
-
$5.35","22,533","7,803","$116,762",$5.10,$5.10 - $5.35,$5.18,$5.10,6:58pm 03/11 (AEDT),+3.11%,+3.11%,+8.37%,+9.94%,-,+8.18%,"$2,480,938,088","157 of 2,408",43 of 573,"467,219,979",Financial Services,VGAD / MGF / ETHI,$2.38,$0.6258,$7.958,,,,BFL
Value,$1.415,"0.00
(0.00)","$1.385
-
$1.63",0,928,$0,‐,‐ - ‐,‐,$1.415,6:58pm 03/11 (AEDT),-5.35%,-12.92%,-17.25%,-14.24%,-10.72%,-16.00%,"$1,012,100,357","296 of 2,408",78 of 573,"715,265,270",Financial Services,VGB / DUI / JDO,$0.14,$0.1063,$1.121,"6 Buy
· 2 Hold
· 0 Sell",Strong Buy,01/10/23,HGH
Value,$0.885,"0.005
(0.57%)","$0.88
-
$0.90","981,281","1,347,745","$871,677",$0.88,$0.88 - $0.90,$0.8885,$0.88,6:58pm 03/11 (AEDT),+4.12%,-11.94%,-33.21%,-30.31%,-,-32.07%,"$981,731,237","301 of 2,408",80 of 573,"1,109,300,833",Financial Services,GMA / VGB / HGH,$0.064,$0.00,$1.297,"5 Buy
· 7 Hold
· 0 Sell",Buy,01/10/23,JDO
Value,$18.37,"0.48
(2.68%)","$17.87
-
$18.88","361,462","335,891","$6,634,489",$18.51,$18.10 - $18.51,$18.355,$17.89,6:58pm 03/11 (AEDT),+4.67%,-1.71%,+29.82%,+22.96%,+21.70%,+21.21%,"$11,866,729,405","40 of 2,408",5 of 197,"645,984,181",Industrials,SVW / AIA / QAN,$0.60,$0.25,$2.484,"0 Buy
· 5 Hold
· 12 Sell",Strong Sell,01/10/23,REH
Value,$29.25,"0.61
(2.13%)","$28.75
-
$29.42","814,627","800,978","$23,798,301",$29.15,$28.78 - $29.42,$29.215,$28.64,6:58pm 03/11 (AEDT),+8.78%,-5.09%,+39.48%,+55.92%,+54.66%,+54.16%,"$10,634,878,420","47 of 2,408",6 of 197,"363,585,587",Industrials,AIA / REH / QAN,$1.677,$0.46,$4.643,"10 Buy
· 4 Hold
· 0 Sell",Strong Buy,01/10/23,SVW
